// Initial random seed:
1806955771273

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4570 846 147 7
4571 849 146 5
4572 840 156 4
4573 832 160 8
4574 829 160 11
4575 827 166 7
4576 821 165 14
4577 850 147 3
4578 839 152 9
4579 833 157 10
4580 840 151 9
4581 826 169 5
4582 824 173 3
4583 830 159 11
4584 837 154 9
4585 843 148 9
4586 839 154 7
4587 841 153 6
4588 839 157 4
4589 843 148 9
4590 835 157 8
4591 858 136 6
4592 855 142 3
4593 852 143 5
4594 855 145 0
4595 865 129 6
4596 860 135 5
4597 858 134 8
4598 842 148 10
4599 838 152 10
4600 843 150 7
4601 843 149 8
4602 828 159 13
4603 830 160 10
4604 826 166 8
4605 823 171 6
4606 825 170 5
4607 809 182 9
4608 814 172 14
4609 824 163 13
4610 825 166 9
4611 827 168 5
4612 827 165 8
4613 829 168 3
4614 821 174 5
4615 824 170 6
4616 843 150 7
4617 830 158 12
4618 848 143 9
4619 853 134 13
4620 835 160 5
4621 846 149 5
4622 835 157 8
4623 832 157 11
4624 825 166 9
4625 821 173 6
4626 814 180 6
4627 822 167 11
4628 813 178 9
4629 829 157 14
4630 821 173 6
4631 824 170 6
4632 820 176 4
4633 835 160 5
4634 827 167 6
4635 842 151 7
4636 828 164 8
4637 819 167 14
4638 825 163 12
4639 832 158 10
4640 802 187 11
4641 814 174 12
4642 816 171 13
4643 819 171 10
4644 815 175 10
4645 822 171 7
4646 822 169 9
4647 814 179 7
4648 821 170 9
4649 834 158 8
4650 816 176 8
4651 810 178 12
4652 818 176 6
4653 817 177 6
4654 825 165 10
4655 818 176 6
4656 810 188 2
4657 831 157 12
4658 839 157 4
4659 850 146 4
4660 858 134 8
4661 879 115 6
4662 880 117 3
