// Initial random seed:
1683965715577

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(1, 0));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4725 520 400 80
4726 507 405 88
4727 456 463 81
4728 452 435 113
4729 451 440 109
4730 463 434 103
4731 466 445 89
4732 459 450 91
4733 489 404 107
4734 498 404 98
4735 452 445 103
4736 457 430 113
4737 459 444 97
4738 493 405 102
4739 463 442 95
4740 477 417 106
4741 490 415 95
4742 508 406 86
4743 538 394 68
4744 529 404 67
4745 536 395 69
4746 557 389 54
4747 542 391 67
4748 531 400 69
4749 537 378 85
4750 539 389 72
4751 535 393 72
4752 539 389 72
4753 540 387 73
4754 543 381 76
4755 520 405 75
4756 494 425 81
4757 513 414 73
4758 511 407 82
4759 509 411 80
4760 502 416 82
4761 513 415 72
4762 477 434 89
4763 483 427 90
4764 492 423 85
4765 503 416 81
4766 506 396 98
4767 486 426 88
4768 497 419 84
4769 512 414 74
4770 507 408 85
4771 489 418 93
4772 481 416 103
4773 501 408 91
4774 508 419 73
4775 521 398 81
4776 525 394 81
4777 552 364 84
4778 514 418 68
4779 521 403 76
4780 524 402 74
4781 541 404 55
4782 555 379 66
4783 532 397 71
4784 541 361 98
4785 528 405 67
4786 522 407 71
4787 546 386 68
4788 563 381 56
4789 541 384 75
4790 523 397 80
4791 538 376 86
4792 530 409 61
4793 544 382 74
4794 549 381 70
4795 544 386 70
4796 558 377 65
4797 562 363 75
4798 547 383 70
4799 565 379 56
4800 558 378 64
4801 559 369 72
4802 559 377 64
4803 554 363 83
4804 527 395 78
4805 546 372 82
4806 540 390 70
4807 516 405 79
4808 517 396 87
4809 527 388 85
4810 498 430 72
4811 472 431 97
4812 441 447 112
4813 454 437 109
4814 447 435 118
4815 432 457 111
4816 408 461 131
4817 392 479 129
4818 426 468 106
4819 430 469 101
4820 459 448 93
4821 453 458 89
4822 455 444 101
4823 461 439 100
4824 463 447 90
4825 470 444 86
4826 469 432 99
4827 473 413 114
4828 431 464 105
4829 443 447 110
4830 461 443 96
4831 448 440 112
4832 440 462 98
4833 439 473 88
4834 444 465 91
4835 467 421 112
4836 476 410 114
4837 467 451 82
4838 479 425 96
4839 477 415 108
4840 487 417 96
4841 487 411 102
4842 464 437 99
4843 484 426 90
4844 488 416 96
4845 483 430 87
4846 501 404 95
